,character,line
0,MAN," For over a century, I have lived in secret; hiding in the shadows, alone in the world. Until now. I am a vampire. And this is my story."
1,MAN," An hour's drive to hear that crap. You know, it wasn't even a band. A guy with a guitar. An hour each way."
2,GIRL, He wasn't that bad.
3,MAN, He sounded like James Blunt.
4,GIRL, What's wrong with that?
5,MAN, We already have a James Blunt. One's all we need.
6,GIRL, So why did you come?
7,MAN, Because I love you.
8,GIRL, Nicely done. What's with all the fog?
9,MAN, It'll clear in a second.
10,GIRL, Watch out!
11,MAN, Are you ok?!
12,GIRL," We just hit someone! Oh, my god!"
13,MAN, Call for help.
14,GIRL," Come on, come on! "
15,MAN," Please be alive! Oh, my god."
16,GIRL, There's no signal! Darren! Darren?
17,STEFAN, I shouldn't have come home. I know the risk. But I had no choice. I have to know her.
18,ELENA," Dear diary, today will be different. It has to be. I will smile, and it will be believable. My smile was saying ""I'm fine, thank you."" ""Yes, I feel much better."" I will no longer be the sad little girl who lost her parents. I will start fresh, be someone new. It's the only way I'll make it through."
19,JENNA, Toast. I can make toast.
20,ELENA," It's all about the coffee, aunt Jenna."
21,JEREMY, Is there coffee?
22,JENNA, Your first day of school and I'm totally unprepared. Lunch money?
23,ELENA, I'm good.
24,JENNA, Anything else? A number two pencil? What am I missing?
25,ELENA, Don't you have a big presentation today?
26,JENNA, I'm meeting with my thesis advisor at...now. Crap!
27,ELENA, Then go. We'll be fine. You ok?
28,JEREMY, Don't start.
29,BONNIE," So grams is telling me I'm psychic. Our ancestors were from salem, which isn't all that, I know, crazy, but she's going on and on about it, and I'm like, put this woman in a home already! But then I started thinking, I predicted Obama and I predicted Heath Ledger, and I still think Florida will break off and turn into little resort islands... Elena! Back in the car."
30,ELENA," I did it again, didn't I? I--I'm sorry, Bonnie. You were telling me that..."
31,BONNIE, That I'm psychic now.
32,ELENA," Right. Ok, then predict something. About me."
33,BONNIE, I see...
34,BONNIE," What was that?! Oh, my god! Elena, are you ok?"
35,ELENA, It's ok. I'm fine.
36,BONNIE, It was like a bird or something. It came out of nowhere.
37,ELENA," Really, I can't be freaked out by cars for the rest of my life."
38,BONNIE, I predict this year is going to be kick ass. And I predict all the sad and dark times are over and you are going to be beyond happy.
39,BONNIE," Major lack of male real estate. Look at the shower curtain on Kelly bitch. She looks a hot-- Can I still say ""tr*nny mess""?"
40,ELENA," No, that's over."
41,BONNIE," Ahh, find a man, coin a phrase. It's a busy year."
42,ELENA, He hates me.
43,BONNIE," That's not hate. That's ""you dumped me, but I'm too cool to show it, but secretly I'm listening to air supply's greatest hits."""
44,CAROLINE," Elena. Oh, my god. How are you? Oh, it's so good to see you. How is she? Is she good?"
45,ELENA ," Caroline, I'm right here. And I'm fine. Thank you."
46,CAROLINE, Really?
47,ELENA, Yes. Much better.
48,CAROLINE," Oh, you poor thing."
49,ELENA," Ok, Caroline."
50,CAROLINE," Oh! Ok, see you guys later?"
51,BONNIE, Ok! Bye.
52,ELENA, No comment.
53,BONNIE, I'm not going to say anything.
54,JEREMY, Don't take more than two in a six-Hour window.
55,TYLER," Hey, Vicki. I knew I'd find you here with the crackheads."
56,VICKI, Hey.
57,TYLER," Hey, Pete Wentz called. He wants his nail polish back."
58,JEREMY," Pete Wentz, huh? How old school T.R.L. of you. Carson Daly fan?"
59,VICKI," Oh, Ty, be nice. Be nice. That's Elena's little brother."
60,TYLER, I know who he is. I'll still kick his ass.
61,BONNIE, Hold up. Who's this?
62,ELENA, All I see is back.
63,BONNIE, It's a hot back.
64,SECRETARY," your records are incomplete. You're missing immunization records, and we do insist on transcripts."
65,STEFAN, Please look again. I'm sure everything you need is there.
66,SECRETARY," Well, you're right. So it is."
67,BONNIE," I'm sensing seattle, and he plays the guitar."
68,ELENA," You're really going to run this whole psychic thing into the ground, huh?"
69,BONNIE, Pretty much.
70,MAN," Jeremy, good batch, man."
71,ELENA, I'll be right back.
72,BONNIE, Please be hot.
73,BOY," Whoa! Pants down, chick!"
74,ELENA, Great. It's the first day of school and you're stoned.
75,JEREMY," No, I'm not. "
76,ELENA, Where is it? Is it on you?
77,JEREMY," Stop, all right?! You need to chill yourself, all right?"
78,ELENA," Chill myself? What is that, Stoner talk? Dude, you are so cool."
79,JEREMY," Look, stop! I don't have anything on me. Are you crazy?"
